locale;code;name;descr
"cs";readOnlyValue;Hodnota jen ke čtení;Hodnota jen ke čtení
"cs";writableValue;Zapisovatelná hodnota;Zapisovatelná hodnota
"cs";mapping;Mapování;Mapování
