locale;code;name;descr
"el";string;Αλφαριθμητικό;Αλφαριθμητικό
"el";number;Αριθμός;Αριθμός
"el";date;Ημ/νία;Ημ/νία
"el";datetime;Ημερομηνία & Ώρα;Ημερομηνία & Ώρα
"el";boolean;Boolean;Boolean
