code;name;descr
requested;Requested;Requested
running;Running;Running
completed;Completed;Completed
completedWithWarning;Completed with Warning;Warning
completedWithError;Completed with Error;Error
failed;Failed;Failed
cancelRequested;Cancel Requested;Requested
canceled;Canceled;Canceled
