locale;code;name;descr
"he";readOnlyValue;ערך לקריאה בלבד;ערך לקריאה בלבד
"he";writableValue;ערך שניתן לכתיבה;ערך שניתן לכתיבה
"he";mapping;מיפוי;מיפוי
