locale;code;name;descr
"sh";readOnlyValue;Vrednost samo za čitanje;Vrednost samo za čitanje
"sh";writableValue;Vrednost za pisanje;Vrednost za pisanje
"sh";mapping;Preslikavanje;Preslikavanje
