locale;code;name;descr
"en_US_saprigi";requested;⁪⁪⁪‍‍‍‍‌‌‍​‌‌​‌‍​‌​‌​‍‍‌‍‍‍‌​​‌​​‌​‌‌‌‍‌​‍⁪Requested⁪⁪;⁪⁪⁪‌‍​‌‌‌​​‌‍‍‌‌‍​‌​‌‌‌​​‌‍‍‍‍‍‍‌‍‌​​‌‍‍‌‍​⁪Requested⁪⁪
"en_US_saprigi";running;⁪⁪⁪‍‌‌‌​‌‌‍‍‌​‌‌​​‍‌‍‌‍​‌‌‌​‌‍​‍​‍‍‌‌‍​‌‍​​⁪Running⁪⁪;⁪⁪⁪‌​‍‌‍‌​‌​‌​‌‌​‍‍‌​​‌‍‌‍‍‍‍‌​‍‌‍‌​‍‍‌‌‍‌​​⁪Running⁪⁪
"en_US_saprigi";completed;⁪⁪⁪‌​‍‌‍​‌‌​‍​‍​​‍​‌‍​‌​‍‌‌‍​‍‍​‌‍‌‌‍‌‌‌​‍‌⁪Completed⁪⁪;⁪⁪⁪‍‍​‌​‍​‍‌‌‍‍​​‌‌‍​‌‍​‌‍‌​‌​‌‍​‌‌​‍‌‌‌‍​‌⁪Completed⁪⁪
"en_US_saprigi";completedWithWarning;⁪⁪⁪‌‍‍‌​​‌‍‌​‍​‌​‍‍‌‍​‍‌‍‌‌‍‌‍‌‌‍​‍‍‍‍‍‍‍​‌⁪Completed With Warning⁪⁪;⁪⁪⁪‌‌​‌‍‍‌‍‍‍​‌‍‍​​​‍‍‍‌​‍‍​‍‍​​‌​‍‍‍‍‍‍​‍​⁪Warning⁪⁪
"en_US_saprigi";completedWithError;⁪⁪⁪‌​‌​​‍‌‌‌‌‍​​​‌‌​​‍‍‌‌‌​​‍‌‌‍​‍​‌​​‍‍​​‍​⁪Completed With Error⁪⁪;⁪⁪⁪‌​‍​​​‍​​​​​‍‌‍‌‌‍​‍‍​‍‍‌​‌​‌‍‌​‌​‌‍​‌‌‌​⁪Error⁪⁪
"en_US_saprigi";failed;⁪⁪⁪‍​​‍​​​‍​‍​​‌‌​​‍​​‍​‍​​‌‍‌​​‌‌‌‍‍‍‌‍‍​⁪Failed⁪⁪;⁪⁪⁪‌​‌​​‍​‌‍​‍‍‍​‌​‍​​‍​‌‌‍‍‌‍‌​​‍​​​‍‍‌​​​‍⁪Failed⁪⁪
"en_US_saprigi";cancelRequested;⁪⁪⁪‌​​​‍‌‌‌​‍‍​‍‌​‍‍​‌‌‌‌‍‌‌‍‍‌​‍​​​​‍‍​‌‌​‌⁪Cancel Requested⁪⁪;⁪⁪⁪‌​‍‌​‌​‌‍​‍‌‍‌‍‍‌​​​‌‍‌‌‌‌‍‍‍‌‍‌​​​‌‌​‍​‍⁪Requested⁪⁪
"en_US_saprigi";canceled;⁪⁪⁪‌‌​‍‌‍‌​‍​‍‍‍‍​‌​‌‍​‌‌‍‍‌​​‍‍‌​​‍‌‌​​​‌​‌⁪Canceled⁪⁪;⁪⁪⁪‌‍‌​‌‌‍​‍‍‌‍‍‌‌‍‍‌‍​‍​‌‌‍‌​‍​‌​​‌‌​‍​‍‌‌⁪Canceled⁪⁪
