locale;code;name;descr
"ms";readOnlyValue;Nilai Baca Sahaja;Nilai Baca Sahaja
"ms";writableValue;Nilai Boleh Tulis;Nilai Boleh Tulis
"ms";mapping;Pemetaan;Pemetaan
