locale;code;name;descr
"pl";readOnlyValue;Wartość tylko do odczytu;Wartość tylko do odczytu
"pl";writableValue;Wartość zapisywalna;Wartość zapisywalna
"pl";mapping;Przypisanie;Przypisanie
