locale;code;name;descr
"th";success;สำเร็จ;สำเร็จ
"th";info;ข้อมูล;ข้อมูล
"th";warning;คำเตือน;คำเตือน
"th";error;ข้อผิดพลาด;ข้อผิดพลาด
